Country or Territory,Estimated Population 2020,Region,Sub-Region
Republic of Korea,51269183,EASTERN AND SOUTH-EASTERN ASIA,Eastern Asia
Republic of Moldova,4033963,EUROPE,Eastern Europe
Réunion,895308,SUB-SAHARAN AFRICA,Eastern Africa
Romania,19237682,EUROPE,Eastern Europe
Russian Federation,145934460,EUROPE,Eastern Europe
Rwanda,12952209,SUB-SAHARAN AFRICA,Eastern Africa
Saint Barthélemy,9885,LATIN AMERICA AND THE CARIBBEAN,Caribbean
Saint Helena,6071,SUB-SAHARAN AFRICA,Western Africa
Saint Kitts and Nevis,53192,LATIN AMERICA AND THE CARIBBEAN,Caribbean
Saint Lucia,183629,LATIN AMERICA AND THE CARIBBEAN,Caribbean
Saint Martin (French part),38659,LATIN AMERICA AND THE CARIBBEAN,Caribbean
Saint Pierre and Miquelon,5795,NORTHERN AMERICA,
Saint Vincent and the Grenadines,110947,LATIN AMERICA AND THE CARIBBEAN,Caribbean
Samoa,198410,OCEANIA (EXCLUDING AUSTRALIA AND NEW ZEALAND),Polynesia
San Marino,33938,EUROPE,Southern Europe
Sao Tome and Principe,219161,SUB-SAHARAN AFRICA,Middle Africa
Saudi Arabia,34813867,NORTHERN AFRICA AND WESTERN ASIA,Western Asia
Senegal,16743930,SUB-SAHARAN AFRICA,Western Africa
Serbia,8737370,EUROPE,Southern Europe
Seychelles,98340,SUB-SAHARAN AFRICA,Eastern Africa
Sierra Leone,7976985,SUB-SAHARAN AFRICA,Western Africa
Singapore,5850343,EASTERN AND SOUTH-EASTERN ASIA,South-Eastern Asia
Sint Maarten (Dutch part),42882,LATIN AMERICA AND THE CARIBBEAN,Caribbean
Slovakia,5459643,EUROPE,Eastern Europe
Slovenia,2078932,EUROPE,Southern Europe
Solomon Islands,686878,OCEANIA (EXCLUDING AUSTRALIA AND NEW ZEALAND),Melanesia
Somalia,15893219,SUB-SAHARAN AFRICA,Eastern Africa
South Africa,59308690,SUB-SAHARAN AFRICA,Southern Africa
South Sudan,11193729,SUB-SAHARAN AFRICA,Eastern Africa
Southern Europe,152215243,EUROPE,
Spain,46754783,EUROPE,Southern Europe
Sri Lanka,21413250,CENTRAL AND SOUTHERN ASIA,Southern Asia
State of Palestine,5101416,NORTHERN AFRICA AND WESTERN ASIA,Western Asia
Sudan,43849269,NORTHERN AFRICA AND WESTERN ASIA,Northern Africa
Suriname,586634,LATIN AMERICA AND THE CARIBBEAN,South America
Sweden,10099270,EUROPE,Northern Europe
Switzerland,8654618,EUROPE,Western Europe
Syrian Arab Republic,17500657,NORTHERN AFRICA AND WESTERN ASIA,Western Asia
Tajikistan,9537642,CENTRAL AND SOUTHERN ASIA,Central Asia
Thailand,69799978,EASTERN AND SOUTH-EASTERN ASIA,South-Eastern Asia
Timor-Leste,1318442,EASTERN AND SOUTH-EASTERN ASIA,South-Eastern Asia
Togo,8278737,SUB-SAHARAN AFRICA,Western Africa
Tokelau,1350,OCEANIA (EXCLUDING AUSTRALIA AND NEW ZEALAND),Polynesia
Tonga,105697,OCEANIA (EXCLUDING AUSTRALIA AND NEW ZEALAND),Polynesia
Trinidad and Tobago,1399491,LATIN AMERICA AND THE CARIBBEAN,Caribbean
Tunisia,11818618,NORTHERN AFRICA AND WESTERN ASIA,Northern Africa
Turkey,84339067,NORTHERN AFRICA AND WESTERN ASIA,Western Asia
Turkmenistan,6031187,CENTRAL AND SOUTHERN ASIA,Central Asia
Turks and Caicos Islands,38718,LATIN AMERICA AND THE CARIBBEAN,Caribbean
Tuvalu,11792,OCEANIA (EXCLUDING AUSTRALIA AND NEW ZEALAND),Polynesia
Uganda,45741000,SUB-SAHARAN AFRICA,Eastern Africa
Ukraine,43733759,EUROPE,Eastern Europe
United Arab Emirates,9890400,NORTHERN AFRICA AND WESTERN ASIA,Western Asia
United Kingdom,67886004,EUROPE,Northern Europe
United Republic of Tanzania,59734213,SUB-SAHARAN AFRICA,Eastern Africa
United States of America,331002647,NORTHERN AMERICA,
United States Virgin Islands,104423,LATIN AMERICA AND THE CARIBBEAN,Caribbean
Uruguay,3473727,LATIN AMERICA AND THE CARIBBEAN,South America
Uzbekistan,33469199,CENTRAL AND SOUTHERN ASIA,Central Asia
Vanuatu,307150,OCEANIA (EXCLUDING AUSTRALIA AND NEW ZEALAND),Melanesia
Venezuela (Bolivarian Republic of),28435943,LATIN AMERICA AND THE CARIBBEAN,South America
Viet Nam,97338583,EASTERN AND SOUTH-EASTERN ASIA,South-Eastern Asia
Wallis and Futuna Islands,11246,OCEANIA (EXCLUDING AUSTRALIA AND NEW ZEALAND),Polynesia
Western Sahara,597330,NORTHERN AFRICA AND WESTERN ASIA,Northern Africa
Yemen,29825968,NORTHERN AFRICA AND WESTERN ASIA,Western Asia
Zambia,18383956,SUB-SAHARAN AFRICA,Eastern Africa
Zimbabwe,14862927,SUB-SAHARAN AFRICA,Eastern Africa
